,Plot_Specification,Construction Status,Total Area,Price per Sq ft,Location,city,Builder,BHK,price(in_lakhs)
703,Apartment,Under Construction,1378 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,2,41.34
704,Apartment,Under Construction,1194 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,2,35.82
705,Apartment,Under Construction,1457 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,43.71
706,Apartment,Under Construction,1201 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,2,36.03
707,Apartment,Under Construction,1198 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,2,35.94
708,Apartment,Under Construction,1309 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,39.27
709,Apartment,Under Construction,1290 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,38.7
710,Apartment,Under Construction,1288 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,38.64
711,Apartment,Under Construction,1298 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,38.94
712,Apartment,Under Construction,1300 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,39.0
713,Apartment,Under Construction,2061 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,4,61.83
714,Apartment,Under Construction,1920 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,4,57.6
715,Apartment,Under Construction,1286 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,2,38.58
716,Apartment,Under Construction,1394 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,41.82
717,Apartment,Under Construction,1266 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,37.98
718,Apartment,Under Construction,1270 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,3,38.1
719,Apartment,Ready to move,1166 ,"5,574 / sq ft",Nagarbhavi,Bangalore,sellerVERIFIED OWNER,2,65.0
720,Villa,Under Construction,3100 ,"7,580 / sq ft",Hoskote,Bangalore,sellerVERIFIED OWNER,3,235.0
721,Apartment,Ready to move,1000 ,"3,990 / sq ft",Chikkalasandra,Bangalore,sellerVERIFIED OWNER,2,39.9
722,Apartment,Ready to move,1200 ,"4,166 / sq ft",Marathahalli,Bangalore,sellerVERIFIED OWNER,2,50.0
723,Apartment,Under Construction,1552 ,"4,510 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,70.0
724,Apartment,Under Construction,1000 ,"8,500 / sq ft",Varthur,Bangalore,sellerVERIFIED OWNER,2,85.0
725,Villa,Ready to move,4000 ,"8,125 / sq ft",Vimanapura,Bangalore,sellerVERIFIED OWNER,7,325.0
726,Apartment,Ready to move,2625 ,"3,657 / sq ft",Ramamurthy Nagar,Bangalore,sellerVERIFIED OWNER,4,96.0
727,Apartment,Ready to move,1350 ,"5,703 / sq ft",Horamavu,Bangalore,sellerVERIFIED OWNER,2,77.0
728,Apartment,Ready to move,1000 ,"4,450 / sq ft",Krishnarajapura,Bangalore,sellerVERIFIED OWNER,2,44.5
729,Independent,Under Construction,1250 ,"5,280 / sq ft",Cheemasandra,Bangalore,sellerVERIFIED OWNER,2,66.0
730,Apartment,Ready to move,2255 ,"10,000 / sq ft",BTM Layout,Bangalore,sellerVERIFIED OWNER,3,225.0
731,Independent,Ready to move,1100 ,"7,272 / sq ft",Krishnarajapura,Bangalore,sellerVERIFIED OWNER,3,80.0
732,Apartment,Ready to move,1208 ,"6,456 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,78.0
733,Apartment,Ready to move,1200 ,"5,000 / sq ft",Singasandra,Bangalore,sellerVERIFIED OWNER,3,60.0
734,Apartment,Ready to move,800 ,"6,250 / sq ft",Jalahalli,Bangalore,sellerVERIFIED OWNER,1,50.0
735,Apartment,Ready to move,1036 ,"6,756 / sq ft",Jalahalli,Bangalore,sellerVERIFIED OWNER,2,70.0
736,Apartment,Ready to move,1036 ,"6,756 / sq ft",Jalahalli,Bangalore,sellerVERIFIED OWNER,2,70.0
737,Independent,Ready to move,2450 ,"7,142 / sq ft",Nagarbhavi,Bangalore,sellerVERIFIED OWNER,3,175.0
738,Independent,Ready to move,610 ,"1,967 / sq ft",BTM Layout 2nd Stage,Bangalore,sellerVERIFIED OWNER,3,11.99
739,Independent,Under Construction,1900 ,"3,631 / sq ft",Cheemasandra,Bangalore,sellerVERIFIED OWNER,5,69.0
740,Apartment,Ready to move,982 ,"6,109 / sq ft",Kannur on Thanisandra Main Road,Bangalore,sellerVERIFIED OWNER,2,60.0
741,Apartment,Ready to move,1400 ,"5,071 / sq ft",Begur,Bangalore,sellerVERIFIED OWNER,3,71.0
742,Apartment,Ready to move,1186 ,"4,750 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,2,56.34
743,Apartment,Ready to move,1035 ,"4,830 / sq ft",Jakkur,Bangalore,sellerVERIFIED OWNER,2,50.0
744,Independent,Ready to move,2300 ,"6,043 / sq ft",Krishnarajapura,Bangalore,sellerVERIFIED OWNER,4,139.0
745,Independent,Ready to move,2301 ,"6,040 / sq ft",Krishnarajapura,Bangalore,sellerVERIFIED OWNER,4,139.0
746,Apartment,Ready to move,835 ,"4,017 / sq ft",Chandapura,Bangalore,sellerVERIFIED OWNER,2,33.55
747,Villa,Under Construction,2600 ,"5,000 / sq ft",Bommasandra,Bangalore,sellerVERIFIED OWNER,4,130.0
748,Villa,Under Construction,2600 ,"5,000 / sq ft",Bommasandra,Bangalore,sellerVERIFIED OWNER,4,130.0
749,Villa,Under Construction,1200 ,"4,333 / sq ft",Jagadenahalli,Bangalore,sellerVERIFIED OWNER,3,52.0
750,Apartment,Under Construction,1000 ,"6,700 / sq ft",Kalyan Nagar,Bangalore,sellerVERIFIED OWNER,2,67.0
751,Apartment,Ready to move,1300 ,"7,615 / sq ft",Talaghattapura,Bangalore,sellerVERIFIED OWNER,3,99.0
752,Apartment,Ready to move,1110 ,"5,405 / sq ft",Thanisandra,Bangalore,sellerVERIFIED OWNER,2,60.0
753,Apartment,Ready to move,650 ,"6,000 / sq ft",Volagerekallahalli,Bangalore,sellerVERIFIED OWNER,1,39.0
754,Apartment,Ready to move,1150 ,"4,739 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,54.5
755,Apartment,Ready to move,1125 ,"3,555 / sq ft",Medahalli,Bangalore,sellerVERIFIED OWNER,2,40.0
756,Apartment,Ready to move,1070 ,"6,500 / sq ft",Kalyan Nagar,Bangalore,sellerVERIFIED OWNER,2,69.55
757,Apartment,Ready to move,1250 ,"5,200 / sq ft",Konanakunte,Bangalore,sellerVERIFIED OWNER,3,65.0
758,Independent,Ready to move,4400 ,"8,636 / sq ft",HBR Layout,Bangalore,sellerVERIFIED OWNER,7,380.0
759,Apartment,Ready to move,1150 ,"3,391 / sq ft",Uttarahalli Hobli,Bangalore,sellerVERIFIED OWNER,2,39.0
760,Independent,Ready to move,4400 ,"7,045 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,4,310.0
761,Independent,Ready to move,1250 ,"6,800 / sq ft",Margondanahalli,Bangalore,sellerVERIFIED OWNER,2,85.0
762,Apartment,Under Construction,1100 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,63.8
763,Apartment,Under Construction,1100 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,63.8
764,Apartment,Under Construction,1300 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,3,75.4
765,Apartment,Under Construction,1300 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,3,75.4
766,Apartment,Under Construction,1100 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,63.8
767,Apartment,Under Construction,1100 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,63.8
768,Apartment,Under Construction,1300 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,3,75.4
769,Apartment,Under Construction,1300 ,"5,800 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,3,75.4
770,Independent,Ready to move,2200 ,"4,090 / sq ft",Margondanahalli,Bangalore,sellerVERIFIED OWNER,2,90.0
771,Apartment,Under Construction,1532 ,"5,350 / sq ft",Talaghattapura,Bangalore,sellerVERIFIED OWNER,3,81.96
772,Apartment,Under Construction,1532 ,"5,350 / sq ft",Talaghattapura,Bangalore,sellerVERIFIED OWNER,3,81.96
773,Apartment,Under Construction,1532 ,"5,350 / sq ft",Talaghattapura,Bangalore,sellerVERIFIED OWNER,3,81.96
774,Apartment,Under Construction,1532 ,"5,350 / sq ft",Talaghattapura,Bangalore,sellerVERIFIED OWNER,3,81.96
775,Apartment,Under Construction,1100 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,2,59.0
776,Apartment,Under Construction,1100 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,2,59.0
777,Apartment,Under Construction,1300 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,3,69.73
778,Apartment,Under Construction,1300 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,3,69.73
779,Apartment,Under Construction,1100 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,2,59.0
780,Apartment,Under Construction,1100 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,2,59.0
781,Apartment,Under Construction,1300 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,3,69.73
782,Apartment,Under Construction,1300 ,"5,364 / sq ft",Kanakapura,Bangalore,sellerVERIFIED OWNER,3,69.73
783,Apartment,Ready to move,1459 ,"5,300 / sq ft",JP Nagar Phase 7,Bangalore,sellerVERIFIED OWNER,3,77.32
784,Apartment,Ready to move,1459 ,"5,300 / sq ft",JP Nagar Phase 7,Bangalore,sellerVERIFIED OWNER,3,77.32
785,Apartment,Ready to move,1459 ,"5,300 / sq ft",JP Nagar Phase 7,Bangalore,sellerVERIFIED OWNER,3,77.32
786,Apartment,Ready to move,1459 ,"5,300 / sq ft",JP Nagar Phase 7,Bangalore,sellerVERIFIED OWNER,3,77.32
787,Apartment,Ready to move,1125 ,"3,555 / sq ft",Medahalli,Bangalore,sellerVERIFIED OWNER,2,40.0
788,Apartment,Ready to move,1119 ,"4,800 / sq ft",Jigani,Bangalore,sellerVERIFIED OWNER,2,53.71
789,Apartment,Ready to move,1075 ,"7,162 / sq ft",Marathahalli,Bangalore,sellerVERIFIED OWNER,2,77.0
790,Apartment,Under Construction,1000 ,"6,700 / sq ft",Kalyan Nagar,Bangalore,sellerVERIFIED OWNER,2,67.0
791,Apartment,Ready to move,1300 ,"7,615 / sq ft",Talaghattapura,Bangalore,sellerVERIFIED OWNER,3,99.0
792,Independent,Under Construction,2400 ,"2,708 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,3,65.0
793,Independent,Ready to move,3300 ,"3,333 / sq ft",Marsur,Bangalore,sellerVERIFIED OWNER,4,110.0
794,Apartment,Ready to move,814 ,"6,142 / sq ft",Nelamangala,Bangalore,sellerVERIFIED OWNER,2,50.0
795,Independent,Ready to move,6500 ,"3,153 / sq ft",Electronics City,Bangalore,sellerVERIFIED OWNER,10,205.0
796,Villa,Ready to move,2000 ,"3,950 / sq ft",Electronics City,Bangalore,sellerVERIFIED OWNER,3,79.0
797,Villa,Under Construction,1300 ,"5,000 / sq ft",Electronics City,Bangalore,sellerVERIFIED OWNER,2,65.0
798,Apartment,Ready to move,1252 ,"5,990 / sq ft",Avalahalli Off Sarjapur Road,Bangalore,sellerVERIFIED OWNER,3,75.0
799,Apartment,Ready to move,1450 ,"6,034 / sq ft",Nagarbhavi,Bangalore,sellerVERIFIED OWNER,3,87.5
800,Apartment,Ready to move,1022 ,"4,696 / sq ft",Vijayanagar,Bangalore,sellerVERIFIED OWNER,2,48.0
801,Apartment,Ready to move,1768 ,"6,165 / sq ft",BTM Layout,Bangalore,sellerVERIFIED OWNER,3,109.0
802,Independent,Ready to move,1800 ,"4,833 / sq ft",Sidedahalli,Bangalore,sellerVERIFIED OWNER,4,87.0
803,Apartment,Ready to move,1223 ,"8,013 / sq ft",Yeshwantpur,Bangalore,sellerVERIFIED OWNER,2,98.0
804,Apartment,Under Construction,1305 ,"5,823 / sq ft",Padmanabhanagar,Bangalore,sellerVERIFIED OWNER,3,76.0
805,Apartment,Ready to move,1045 ,"4,306 / sq ft",Bilekahalli,Bangalore,sellerVERIFIED OWNER,2,45.0
806,Apartment,Ready to move,1145 ,"4,235 / sq ft",Electronic City Phase 1,Bangalore,sellerVERIFIED OWNER,2,48.5
807,Apartment,Ready to move,1315 ,"4,410 / sq ft",Uttarahalli Hobli,Bangalore,sellerVERIFIED OWNER,3,58.0
808,Apartment,Ready to move,1301 ,"5,918 / sq ft",J. P. Nagar,Bangalore,sellerVERIFIED OWNER,3,77.0
809,Apartment,Ready to move,1205 ,"3,651 / sq ft",Billapura,Bangalore,sellerVERIFIED OWNER,2,44.0
810,Apartment,Ready to move,1195 ,"4,351 / sq ft",Electronic City Phase 1,Bangalore,sellerVERIFIED OWNER,2,52.0
811,Apartment,Ready to move,982 ,"6,109 / sq ft",Kannur on Thanisandra Main Road,Bangalore,sellerVERIFIED OWNER,2,60.0
812,Apartment,Under Construction,1809 ,"5,306 / sq ft",Electronics City,Bangalore,sellerVERIFIED OWNER,3,96.0
813,Apartment,Ready to move,1150 ,"6,869 / sq ft",Kalyan Nagar,Bangalore,sellerVERIFIED OWNER,2,79.0
814,Apartment,Ready to move,1120 ,"4,464 / sq ft",Horamavu,Bangalore,sellerVERIFIED OWNER,2,50.0
815,Apartment,Ready to move,1196 ,"6,270 / sq ft",Ramamurthy Nagar,Bangalore,sellerVERIFIED OWNER,2,75.0
816,Apartment,Ready to move,1128 ,"6,826 / sq ft",Electronic City Phase 1,Bangalore,sellerVERIFIED OWNER,2,77.0
817,Independent,Ready to move,1200 ,"6,250 / sq ft",Thathaguni,Bangalore,sellerVERIFIED OWNER,3,75.0
818,Independent,Under Construction,2600 ,"5,769 / sq ft",Subramanyapura,Bangalore,sellerVERIFIED OWNER,4,150.0
819,Apartment,Ready to move,405 ,"4,938 / sq ft",Lal Bahadur Shastri Nagar,Bangalore,sellerVERIFIED OWNER,1,20.0
820,Independent,Ready to move,3500 ,"6,428 / sq ft",Jnana Ganga Nagar,Bangalore,sellerVERIFIED OWNER,5,225.0
821,Independent,Ready to move,2600 ,"4,615 / sq ft",Vidyaranyapura,Bangalore,sellerVERIFIED OWNER,6,120.0
822,Apartment,Ready to move,1235 ,"7,935 / sq ft",Narayanapura on Hennur Main Road,Bangalore,sellerVERIFIED OWNER,4,98.0
823,Apartment,Ready to move,803 ,"5,603 / sq ft",Banashankari,Bangalore,sellerVERIFIED OWNER,2,44.99
824,Apartment,Ready to move,1850 ,"6,216 / sq ft",J. P. Nagar,Bangalore,sellerVERIFIED OWNER,3,115.0
825,Apartment,Ready to move,1140 ,"4,035 / sq ft",Kalyan Nagar,Bangalore,sellerVERIFIED OWNER,2,46.0
826,Apartment,Ready to move,2122 ,"10,367 / sq ft",Bellandur,Bangalore,sellerVERIFIED OWNER,3,220.0
827,Villa,Under Construction,1200 ,"4,916 / sq ft",Chandapura,Bangalore,sellerVERIFIED OWNER,3,59.0
828,Apartment,Ready to move,1600 ,"5,625 / sq ft",Vidyaranyapura,Bangalore,sellerVERIFIED OWNER,3,90.0
829,Apartment,Ready to move,1848 ,"10,010 / sq ft",Vijayanagar,Bangalore,sellerVERIFIED OWNER,3,185.0
830,Villa,Under Construction,1724 ,"6,960 / sq ft",Sarjapur Road Post Railway Crossing,Bangalore,sellerVERIFIED OWNER,4,120.0
831,Villa,Ready to move,1700 ,"4,294 / sq ft",Electronics City,Bangalore,sellerVERIFIED OWNER,3,73.0
832,Independent,Under Construction,4000 ,"4,475 / sq ft",Vidyaranyapura,Bangalore,sellerVERIFIED OWNER,6,179.0
833,Apartment,Ready to move,3024 ,"6,779 / sq ft",Banashankari,Bangalore,sellerVERIFIED OWNER,3,205.0
834,Apartment,Ready to move,1600 ,"4,718 / sq ft",Byrathi,Bangalore,sellerVERIFIED OWNER,3,75.5
835,Apartment,Ready to move,895 ,"5,000 / sq ft",Vajarahalli,Bangalore,sellerVERIFIED OWNER,2,44.75
836,Apartment,Ready to move,1100 ,"5,727 / sq ft",Nagarbhavi,Bangalore,sellerVERIFIED OWNER,2,63.0
837,Apartment,Under Construction,1850 ,"5,945 / sq ft",J. P. Nagar,Bangalore,sellerVERIFIED OWNER,3,110.0
838,Apartment,Ready to move,1150 ,"6,782 / sq ft",Electronic City Phase 2,Bangalore,sellerVERIFIED OWNER,2,78.0
839,Independent,Ready to move,2720 ,"12,003 / sq ft",Kartik Nagar,Bangalore,sellerVERIFIED OWNER,3,326.0
840,Apartment,Ready to move,750 ,"4,800 / sq ft",hongasandra bangalore,Bangalore,sellerVERIFIED OWNER,1,36.0
841,Apartment,Ready to move,1173 ,"8,525 / sq ft",Whitefield,Bangalore,sellerVERIFIED OWNER,2,100.0
842,Apartment,Ready to move,1271 ,"6,687 / sq ft",Kannur on Thanisandra Main Road,Bangalore,sellerVERIFIED OWNER,2,85.0
843,Independent,Ready to move,2700 ,"3,333 / sq ft",Electronics City,Bangalore,sellerVERIFIED OWNER,7,90.0
844,Apartment,Ready to move,1850 ,"10,810 / sq ft",Richmond Town,Bangalore,sellerVERIFIED OWNER,3,200.0
845,Villa,Ready to move,1750 ,"5,657 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,99.0
846,Apartment,Under Construction,1650 ,"5,878 / sq ft",Kammanahalli,Bangalore,sellerVERIFIED OWNER,3,97.0
847,Apartment,Under Construction,2511 ,"8,960 / sq ft",Kengeri,Bangalore,sellerVERIFIED OWNER,3,225.0
848,Apartment,Ready to move,1167 ,"3,856 / sq ft",Chickpet,Bangalore,sellerVERIFIED OWNER,2,45.0
849,Villa,Ready to move,4350 ,"11,724 / sq ft",Bagaluru Near Yelahanka,Bangalore,sellerVERIFIED OWNER,5,510.0
850,Independent,Ready to move,3600 ,"5,277 / sq ft",Krishnarajapura,Bangalore,sellerVERIFIED OWNER,7,190.0
851,Independent,Ready to move,3600 ,"5,277 / sq ft",Krishnarajapura,Bangalore,sellerVERIFIED OWNER,7,190.0
852,Apartment,Ready to move,1500 ,"8,333 / sq ft",Sanjay Nagar,Bangalore,sellerVERIFIED OWNER,3,125.0
853,Villa,Ready to move,2400 ,"3,708 / sq ft",Marsur,Bangalore,sellerVERIFIED OWNER,4,88.99
854,Apartment,Ready to move,800 ,"6,000 / sq ft",Kumbalgodu,Bangalore,sellerVERIFIED OWNER,2,48.0
855,Apartment,Under Construction,1421 ,"6,268 / sq ft",Varthur,Bangalore,ATZ PROPERTIES,3,89.06
856,Apartment,Under Construction,1321 ,"6,294 / sq ft",Varthur,Bangalore,ATZ PROPERTIES,3,83.14
857,Apartment,Under Construction,1102 ,"6,367 / sq ft",Varthur,Bangalore,ATZ PROPERTIES,2,70.16
858,Apartment,Under Construction,1401 ,"6,272 / sq ft",Varthur,Bangalore,ATZ PROPERTIES,3,87.88
859,Apartment,Under Construction,1100 ,"6,368 / sq ft",Varthur,Bangalore,ATZ PROPERTIES,2,70.05
860,Apartment,Ready to move,880 ,"6,250 / sq ft",Kumbalgodu,Bangalore,sellerVERIFIED OWNER,2,55.0
861,Apartment,Ready to move,880 ,"6,818 / sq ft",Kumbalgodu,Bangalore,sellerVERIFIED OWNER,2,60.0
862,Independent,Ready to move,7000 ,"6,071 / sq ft",Banashankari,Bangalore,sellerVERIFIED OWNER,4,425.0
863,Independent,Ready to move,4000 ,"11,250 / sq ft",Sanjay Nagar,Bangalore,sellerVERIFIED OWNER,4,450.0
864,Apartment,Ready to move,1100 ,"5,636 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,62.0
865,Independent,Ready to move,1800 ,"7,166 / sq ft",Nagarbhavi,Bangalore,sellerVERIFIED OWNER,3,129.0
866,Apartment,Ready to move,1200 ,"4,250 / sq ft",Begur,Bangalore,sellerVERIFIED OWNER,2,51.0
867,Independent,Ready to move,6600 ,"3,333 / sq ft",Horamavu,Bangalore,sellerVERIFIED OWNER,10,220.0
868,Apartment,Ready to move,1168 ,"7,534 / sq ft",RR Nagar,Bangalore,sellerVERIFIED OWNER,2,88.0
869,Apartment,Under Construction,1673 ,"6,335 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,106.0
870,Villa,Ready to move,3418 ,"8,045 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,4,275.0
871,Independent,Ready to move,1700 ,"6,470 / sq ft",BTM Layout,Bangalore,sellerVERIFIED OWNER,3,110.0
872,Apartment,Ready to move,1040 ,"4,807 / sq ft",Bellandur,Bangalore,sellerVERIFIED OWNER,2,50.0
873,Apartment,Ready to move,1619 ,"5,806 / sq ft",Whitefield Hope Farm Junction,Bangalore,sellerVERIFIED OWNER,3,94.0
874,Apartment,Under Construction,1570 ,"7,515 / sq ft",ITPL,Bangalore,Godrej Properties Ltd,3,118.0
875,Apartment,Under Construction,1817 ,"7,539 / sq ft",ITPL,Bangalore,Godrej Properties Ltd,3,137.0
876,Apartment,Under Construction,1761 ,"7,722 / sq ft",ITPL,Bangalore,Godrej Properties Ltd,3,136.0
877,Apartment,Under Construction,760 ,"8,026 / sq ft",ITPL,Bangalore,Godrej Properties Ltd,1,61.0
878,Independent,Ready to move,2250 ,"8,888 / sq ft",Banashankari,Bangalore,sellerVERIFIED OWNER,6,200.0
879,Apartment,Ready to move,1500 ,"4,333 / sq ft",Subramanyapura,Bangalore,sellerVERIFIED OWNER,3,65.0
